source,target,type,raw
TRG_ITEM:BK_SOLICITUD_REV_MEDICA.BTN_AUTORIZA_REEMBOLSO.WHEN-BUTTON-PRESSED,PU:F_USUARIO_AUTORIZADO,INTERNAL_PU_CALL,F_USUARIO_AUTORIZADO
TRG_ITEM:BK_SOLICITUD_REV_MEDICA.BTN_AUTORIZA_REEMBOLSO.WHEN-BUTTON-PRESSED,EXT:pkg_general.p_inserta_error,EXTERNAL_CALL,pkg_general.p_inserta_error
TRG_ITEM:BK_SOLICITUD_REV_MEDICA.BTN_AUTORIZA_REEMBOLSO.WHEN-BUTTON-PRESSED,EXT:PKG_TARIFAS_URA.P_ACTUALIZA_ESTATUS_SOLICITUD,EXTERNAL_CALL,PKG_TARIFAS_URA.P_ACTUALIZA_ESTATUS_SOLICITUD
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,EXT:CUR_DESC_PAREN,EXTERNAL_CALL,CUR_DESC_PAREN
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,EXT:CUR_DESC_RECOMENDACION,EXTERNAL_CALL,CUR_DESC_RECOMENDACION
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,EXT:CUR_NOMBRE_POL,EXTERNAL_CALL,CUR_NOMBRE_POL
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,EXT:FOREBRA,EXTERNAL_CALL,FOREBRA
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,EXT:IN,EXTERNAL_CALL,IN
TRG_BLOCK:RESUMEN_RECLAMOS.POST-QUERY,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,EXT:EXISTS,EXTERNAL_CALL,EXISTS
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,EXT:F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,EXT:IN,EXTERNAL_CALL,IN
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,EXT:NUMBER,EXTERNAL_CALL,NUMBER
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,p_imprime_mensaje
TRG_ITEM:RESUMEN_RECLAMOS.CB_SELECCIONAR.WHEN-CHECKBOX-CHANGED,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
TRG_ITEM:RESUMEN_RECLAMOS.BTN_COMENTARIO.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:RESUMEN_RECLAMOS.BTN_SOL_INF.WHEN-BUTTON-PRESSED,EXT:C_EXISTE_SOL_PAG,EXTERNAL_CALL,C_EXISTE_SOL_PAG
TRG_ITEM:RESUMEN_RECLAMOS.BTN_SOL_INF.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:RESUMEN_RECLAMOS.BTN_SOL_INF.WHEN-BUTTON-PRESSED,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:RESUMEN_RECLAMOS.BTN_SOL_INF.WHEN-BUTTON-PRESSED,EXT:VARCHAR2,EXTERNAL_CALL,VARCHAR2
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,EXT:F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,EXT:IN,EXTERNAL_CALL,IN
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,PU:MSG_ALERT,INTERNAL_PU_CALL,MSG_ALERT
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,EXT:NUMBER,EXTERNAL_CALL,NUMBER
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,EXT:PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS,EXTERNAL_CALL,PKG_GENERAL.F_OBTEN_PARAMETRO_SEUS
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,PU:P_HABILITA_BLOQ_SERV,INTERNAL_PU_CALL,P_HABILITA_BLOQ_SERV
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,PU:P_IMPRIME_MENSAJE,INTERNAL_PU_CALL,p_imprime_mensaje
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,PU:P_RESTRICCIONES_SERV,INTERNAL_PU_CALL,p_restricciones_serv
TRG_ITEM:RESUMEN_RECLAMOS.BTN_EDITAR.WHEN-BUTTON-PRESSED,EXT:varchar2,EXTERNAL_CALL,varchar2
